Metric,Value
mAP (COCO 50:95),36.654707484465185
mAP50 (COCO),62.16639021993371
mAP75 (COCO),38.85335533654827
---,---
F1-Score (Macro),0.6514031210393019
Recall (Macro),0.6875865278838704
Precision (Macro),0.6216718515029392
---,---
F1 (Plastic),0.5541675640749515
Recall (Plastic),0.6187327161236023
Precision (Plastic),0.5018039980497319
F1 (Pile),0.6337209302325582
Recall (Pile),0.630057803468208
Precision (Pile),0.6374269005847953
F1 (Face mask),0.7155963302752294
Recall (Face mask),0.7918781725888325
Precision (Face mask),0.6527196652719666
F1 (Trash bin),0.7021276595744681
Recall (Trash bin),0.7096774193548387
Precision (Trash bin),0.6947368421052632
