PyTorch Faster R-CNN - COCO Evaluation Metrics (Device: cuda):
AP @[ IoU=0.50:0.95 | area=   all | maxDets=100 ]: 0.3997
AP @[ IoU=0.50      | area=   all | maxDets=100 ] (mAP@.50): 0.6385
AP @[ IoU=0.75      | area=   all | maxDets=100 ]: 0.4537
AP @[ IoU=0.50:0.95 | area= small | maxDets=100 ]: 0.1419
AP @[ IoU=0.50:0.95 | area=medium | maxDets=100 ]: 0.2817
AP @[ IoU=0.50:0.95 | area= large | maxDets=100 ]: 0.3739
AR @[ IoU=0.50:0.95 | area=   all | maxDets=  1 ]: 0.3775
AR @[ IoU=0.50:0.95 | area=   all | maxDets= 10 ]: 0.5057
AR @[ IoU=0.50:0.95 | area=   all | maxDets=100 ]: 0.5394
AR @[ IoU=0.50:0.95 | area= small | maxDets=100 ]: 0.3883
AR @[ IoU=0.50:0.95 | area=medium | maxDets=100 ]: 0.4279
AR @[ IoU=0.50:0.95 | area= large | maxDets=100 ]: 0.5231

Nota: As métricas de Precisão, Recall e F1-score por classe para um ponto de operação específico não são diretamente fornecidas pelo COCOeval. Estas são as métricas AP/AR padrão.
