Metric,Value
mAP (COCO 50:95),22.855836387152507
mAP50 (COCO),34.11017382283351
mAP75 (COCO),24.774940473207568
---,---
F1-Score (Macro),0.4662362486044484
Recall (Macro),0.371486456832792
Precision (Macro),0.714067591791022
---,---
F1 (Plastic),0.4381808749783849
Recall (Plastic),0.3046771672478057
Precision (Plastic),0.7799322868574946
F1 (Pile),0.5419847328244275
Recall (Pile),0.41040462427745666
Precision (Pile),0.797752808988764
F1 (Face mask),0.23673469387755103
Recall (Face mask),0.14720812182741116
Precision (Face mask),0.6041666666666666
F1 (Trash bin),0.6480446927374302
Recall (Trash bin),0.6236559139784946
Precision (Trash bin),0.6744186046511628
