epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,657.05,1.53386,1.77497,1.03184,0.64346,0.51007,0.56721,0.364,1.39446,1.35923,1.00045,0.00333223,0.00333223,0.00333223
2,1283.25,1.58649,1.5248,1.04322,0.59841,0.4826,0.52904,0.32564,1.50127,1.46312,1.0487,0.00659958,0.00659958,0.00659958
3,1905.23,1.70854,1.65319,1.08203,0.51168,0.4632,0.43088,0.23553,1.65587,1.59883,1.08614,0.00980092,0.00980092,0.00980092
4,2526.16,1.80117,1.75078,1.11524,0.52732,0.39233,0.41377,0.22928,1.62305,1.64111,1.08634,0.009703,0.009703,0.009703
5,3146.86,1.74523,1.67149,1.09871,0.59191,0.44226,0.47912,0.28361,1.58913,1.5689,1.07058,0.009604,0.009604,0.009604
6,3755.26,1.69241,1.59507,1.08426,0.54133,0.51096,0.49059,0.28891,1.53917,1.47378,1.06212,0.009505,0.009505,0.009505
7,4363.51,1.6631,1.54904,1.07021,0.6457,0.48404,0.54692,0.33736,1.51796,1.4374,1.05271,0.009406,0.009406,0.009406
8,4973.33,1.63848,1.50883,1.06204,0.64678,0.49415,0.56325,0.34271,1.49398,1.39778,1.03646,0.009307,0.009307,0.009307
9,5594.71,1.61602,1.48615,1.05855,0.63718,0.50333,0.57061,0.3501,1.50269,1.36494,1.04283,0.009208,0.009208,0.009208
10,6215.92,1.59331,1.46068,1.05158,0.64162,0.51926,0.56542,0.3488,1.46361,1.3516,1.03256,0.009109,0.009109,0.009109
11,6837.2,1.57339,1.42258,1.04516,0.65962,0.55047,0.59301,0.36767,1.45661,1.31638,1.02941,0.00901,0.00901,0.00901
12,7459.26,1.57134,1.40925,1.04635,0.66626,0.53644,0.59619,0.37511,1.42845,1.29549,1.01986,0.008911,0.008911,0.008911
13,8071.33,1.55901,1.39864,1.03948,0.69291,0.54301,0.6169,0.37454,1.43217,1.30505,1.01978,0.008812,0.008812,0.008812
14,8693.12,1.53329,1.3645,1.03362,0.65965,0.54244,0.60415,0.38319,1.41916,1.26559,1.01488,0.008713,0.008713,0.008713
15,9315.25,1.52132,1.34506,1.0243,0.69956,0.57125,0.63969,0.40576,1.40616,1.23303,1.01282,0.008614,0.008614,0.008614
16,9936.78,1.51532,1.32779,1.02611,0.66599,0.57485,0.63105,0.40556,1.38987,1.25529,1.00858,0.008515,0.008515,0.008515
17,10557.7,1.50203,1.3213,1.02332,0.70994,0.59566,0.65538,0.4225,1.39725,1.22644,1.00917,0.008416,0.008416,0.008416
18,11179.4,1.50539,1.30171,1.02192,0.6968,0.56906,0.65466,0.42246,1.38786,1.23063,1.00685,0.008317,0.008317,0.008317
19,11787.7,1.47909,1.28399,1.01288,0.72229,0.58997,0.66181,0.42722,1.37732,1.18447,1.00615,0.008218,0.008218,0.008218
20,12402,1.47747,1.27196,1.01807,0.72625,0.58913,0.6689,0.4301,1.36522,1.17885,1.00168,0.008119,0.008119,0.008119
21,13023.5,1.47419,1.25877,1.01221,0.71647,0.58568,0.66708,0.43513,1.36645,1.18252,1.00147,0.00802,0.00802,0.00802
22,13644.9,1.45771,1.24082,1.01065,0.7078,0.58948,0.66309,0.44201,1.35379,1.16178,0.99765,0.007921,0.007921,0.007921
23,14266.5,1.45124,1.2259,1.00574,0.70673,0.61816,0.67933,0.44878,1.34958,1.14728,0.99258,0.007822,0.007822,0.007822
24,14888.2,1.4469,1.2256,1.00445,0.71501,0.62463,0.6807,0.45036,1.35094,1.13764,0.99497,0.007723,0.007723,0.007723
25,15503.5,1.43653,1.21046,1.0035,0.75333,0.60582,0.69082,0.45171,1.34129,1.13308,0.99234,0.007624,0.007624,0.007624
26,16111.7,1.43394,1.20388,0.99859,0.73613,0.61391,0.68552,0.45473,1.33878,1.12649,0.99124,0.007525,0.007525,0.007525
27,16719.9,1.4261,1.18869,1.00304,0.75392,0.6304,0.68814,0.45682,1.33427,1.127,0.9925,0.007426,0.007426,0.007426
28,17329.7,1.42617,1.17616,0.99726,0.75011,0.59973,0.69125,0.46289,1.33116,1.1109,0.99028,0.007327,0.007327,0.007327
29,17951.6,1.41429,1.17231,0.99594,0.69171,0.6303,0.6892,0.46789,1.32709,1.10697,0.99367,0.007228,0.007228,0.007228
30,18572.9,1.40656,1.15957,0.99452,0.7415,0.61182,0.69786,0.46866,1.32004,1.1099,0.98934,0.007129,0.007129,0.007129
31,19194.6,1.40002,1.14176,0.9927,0.74407,0.61583,0.69227,0.46675,1.32212,1.10059,0.98927,0.00703,0.00703,0.00703
32,19816.3,1.39525,1.13088,0.99027,0.72848,0.63136,0.70235,0.47599,1.31841,1.0972,0.98952,0.006931,0.006931,0.006931
33,20438.1,1.38283,1.11996,0.98583,0.77336,0.6062,0.69668,0.47566,1.31087,1.08528,0.98323,0.006832,0.006832,0.006832
34,21058.3,1.37782,1.11068,0.98517,0.80408,0.60545,0.705,0.48043,1.30516,1.0777,0.98332,0.006733,0.006733,0.006733
